wh,,,,,,,,,
,YuMOVE  Project Plan,,Account Name,,,Simon/ Natalie,,12 Hours/ Month,One Off 24 hours
,,,Account Managers,,,Ray/ Ezgi,,FY starts Jan,
,,,Month starts,,,1st,,,
,,YuMOVE,,,,,,,
,,Feedspark,,,,,,,
,,,,,,,,,
,,Areas to optimise / Actions,TASK OWNER,Prioritise,Time Required,STATUS,Notes,,
,,,,,,,,,
,PPC,Continue monitoring the overlay performance throughout the sale period,Michel,,,Completed,,,
,,Actions -June/25,,,,,,,
,PPC,PPC Overlay - new design template to make sure cropping on Google better.,,,s,In Progress,,,
,PPC,Test: SUB Price as the g:price/ g:sale_price in Shopping feed: YuMOVE Joint Care PLUS Max Strength for Dogs - 30 Tablet,Ray,,,In Progress,,,
,PPC:,YM team will provide images with (overlay) directly from source feed - ,Simon/ Michel,,HIgh Prio,In Progress,,,
,PPC,Image Cycler: Box-I & new Lifestyle image,Ray,Checkin: 290425,,In Progress,,,
,PPC & Social,Strategy Recommendations - week 23rd / June ,Ray/ Michel,,HIgh Prio,Open,,,
,PPC,60% off SUBG SALE to update overlay,Michel,,HIgh Prio,Open,,,
,PPC,Send Shopify API reqiuest approve from FeedSpark,Muru/ Ray,,,Open,,,
,,Performance Review July 2025,,,,,,,
,,USE ACTION LIST Q3/2025 PRIORITY,,,,,,,
,,July 2025,,,,,,,
,PPC,Titles Multivitamins Review ,Ray,,,Open,,,
,PPC,Discuss landing parameter (SUB vs. PAY),Ray,,,Completed,,,
,PPC,"Adding GA4 access, share emaill",Ray,,,Open,,,
,PPC,Unit pricing measure added for Shopping (£ per tablet/ unit/ satchet/ chew'/ stick),Ray,,,Completed,,,
,,Sept 2025,,,,,,,
,,"Sub-G roundel - sbould be activated as ""up to % off"" rather than ""From: £..."" - black back ground + white text",Ray,,,Completed,,,
,,Black Friday keywords optimisation - start from 1st November,Ez,Nov-1st,,Completed,,,
,,Overlay roundel BF > B&W (black with white text font),Ray,Nov-28th,,Completed,,,
,,Overlar roundel XMAS > Red roundel ?(red with white text),Ray,,,Completed,,,
,,Creative competitor research ,Ez,Sept-28,,Completed,,,
,,Oct 2025,,,,,,,
,,Michel to share list of DIgestive products - Simon can add in the Benefits copy,Michel/ SImon,asap,,Completed,,,
,,BLock refresh until 7AM refresh on Friday,Ray,Sept-26,,Completed,,,
,,Bundles for Simon to confirm - if able to push into FeedSpark feed,Simon/ Michel,Sept-29,,On Hold,,,
,,A/B Test [SUB display] - Roundel vs. GMP (item filter) - Product IDs,Ray,,,Completed,,,
,,Dec 2025,,,,,,,
,,40% PAYG,Ray,Dec-19,Dec-31,Completed,,,
,,Further Reductions: ,Ray,Dec-26,,Completed,,,
,,XMAS keywords optimisation - across all products,Ray,,,Completed,,,
,,Bundles - issue with pricing variant matching ,Ray,,,In Progress,,,
,,PPC: blue sidebar padding [Up to 40%],Ray,,,Completed,,,
,,Jun 2026,,,,,,,
,,Symptom Matrix - works on all SKUs ,Simon / Ez,,,With Clients,,,
,,Remove [Bulk Pack] from Shopping Titles,Ray,,,Completed,,,
,,Review individual cropped image ,Ray,,,Completed,,,
,,,,,,Open,,,
,,,,,,Open,,,
,,,,,,Open,,,
,,,,,,Open,,,
